id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
72,W 52 St & 11 Ave,28,39,40.76727216,-73.99392888,In Service,1,9,W 52 St & 11 Ave,,,,,,false,,
79,Franklin St & W Broadway,12,33,40.71911552,-74.00666661,In Service,1,20,Franklin St & W Broadway,,,,,,false,,
82,St James Pl & Pearl St,21,27,40.71117416,-74.00016545,In Service,1,4,St James Pl & Pearl St,,,,,,false,,
83,Atlantic Ave & Fort Greene Pl,28,62,40.68382604,-73.97632328,In Service,1,34,Atlantic Ave & Fort Greene Pl,,,,,,false,,
116,W 17 St & 8 Ave,29,39,40.74177603,-74.00149746,In Service,1,8,W 17 St & 8 Ave,,,,,,false,,
119,Park Ave & St Edwards St,16,19,40.69608941,-73.97803415,In Service,1,2,Park Ave & St Edwards St,,,,,,false,,
120,Lexington Ave & Classon Ave,16,19,40.68676793,-73.95928168,In Service,1,1,Lexington Ave & Classon Ave,,,,,,false,,
127,Barrow St & Hudson St,19,31,40.73172428,-74.00674436,In Service,1,12,Barrow St & Hudson St,,,,,,false,,
128,MacDougal St & Prince St,2,30,40.72710258,-74.00297088,In Service,1,26,MacDougal St & Prince St,,,,,,false,,
137,E 56 St & Madison Ave,35,46,40.761628,-73.972924,In Service,1,11,E 56 St & Madison Ave,,,,,,false,,
143,Clinton St & Joralemon St,22,24,40.69239502,-73.99337909,In Service,1,1,Clinton St & Joralemon St,,,,,,false,,
144,Nassau St & Navy St,12,19,40.69839895,-73.98068914,In Service,1,5,Nassau St & Navy St,,,,,,false,,
146,Hudson St & Reade St,36,39,40.71625008,-74.0091059,In Service,1,3,Hudson St & Reade St,,,,,,false,,
147,Greenwich St & Warren St,2,33,40.71542197,-74.01121978,In Service,1,31,Greenwich St & Warren St,,,,,,false,,
150,E 2 St & Avenue C,29,31,40.7208736,-73.98085795,In Service,1,2,E 2 St & Avenue C,,,,,,false,,
151,Cleveland Pl & Spring St,11,30,40.7218158,-73.99720307,In Service,1,19,Cleveland Pl & Spring St,,,,,,false,,
152,Warren St & Church St,13,29,40.71473993,-74.00910627,In Service,1,15,Warren St & Church St,,,,,,false,,
153,E 40 St & 5 Ave,20,55,40.752062307,-73.9816324043,In Service,1,33,E 40 St & 5 Ave,,,,,,false,,
157,Henry St & Atlantic Ave,22,22,40.69089272,-73.99612349,In Service,1,0,Henry St & Atlantic Ave,,,,,,false,,
160,E 37 St & Lexington Ave,17,26,40.748238,-73.978311,In Service,1,6,E 37 St & Lexington Ave,,,,,,false,,
161,LaGuardia Pl & W 3 St,18,35,40.72917025,-73.99810231,In Service,1,16,LaGuardia Pl & W 3 St,,,,,,false,,
164,E 47 St & 2 Ave,12,47,40.75323098,-73.97032517,In Service,1,33,E 47 St & 2 Ave,,,,,,false,,
167,E 39 St & 3 Ave,40,45,40.7489006,-73.97604882,In Service,1,4,E 39 St & 3 Ave,,,,,,false,,
168,W 18 St & 6 Ave,4,47,40.73971301,-73.99456405,In Service,1,37,W 18 St & 6 Ave,,,,,,false,,
173,Broadway & W 49 St,12,50,40.76064679,-73.98442659,In Service,1,35,Broadway & W 49 St,,,,,,false,,
174,E 25 St & 1 Ave,28,29,40.7381765,-73.97738662,In Service,1,0,E 25 St & 1 Ave,,,,,,false,,
195,Liberty St & Broadway,7,45,40.70905623,-74.01043382,In Service,1,38,Liberty St & Broadway,,,,,,false,,
212,W 16 St & The High Line,5,28,40.74334935,-74.00681753,In Service,1,18,W 16 St & The High Line,,,,,,false,,
216,Columbia Heights & Cranberry St,13,23,40.70037867,-73.99548059,In Service,1,9,Columbia Heights & Cranberry St,,,,,,false,,
217,Old Fulton St,22,39,40.70277159,-73.99383605,In Service,1,15,Old Fulton St,,,,,,false,,
218,Gallatin Pl & Livingston St,37,38,40.69028437,-73.98707105,In Service,1,1,Gallatin Pl & Livingston St,,,,,,false,,
223,W 13 St & 7 Ave,31,33,40.73781509,-73.99994661,In Service,1,0,W 13 St & 7 Ave,,,,,,false,,
224,Spruce St & Nassau St,22,31,40.71146364,-74.00552427,In Service,1,7,Spruce St & Nassau St,,,,,,false,,
225,W 14 St & The High Line,11,37,40.74195138,-74.00803013,In Service,1,22,W 14 St & The High Line,,,,,,false,,
228,E 48 St & 3 Ave,2,55,40.7546011026,-73.971878855,In Service,1,53,E 48 St & 3 Ave,,,,,,false,,
229,Great Jones St,5,27,40.72743423,-73.99379025,In Service,1,19,Great Jones St,,,,,,false,,
232,Cadman Plaza E & Tillary St,16,23,40.69597683,-73.99014892,In Service,1,7,Cadman Plaza E & Tillary St,,,,,,false,,
233,Joralemon St & Adams St,0,11,40.69246277,-73.98963911,In Service,1,11,Joralemon St & Adams St,,,,,,false,,
236,St Marks Pl & 2 Ave,35,39,40.7284186,-73.98713956,In Service,1,1,St Marks Pl & 2 Ave,,,,,,false,,
237,E 11 St & 2 Ave,36,39,40.73047309,-73.98672378,In Service,1,3,E 11 St & 2 Ave,,,,,,false,,
238,Bank St & Washington St,26,31,40.7361967,-74.00859207,In Service,1,3,Bank St & Washington St,,,,,,false,,
239,Willoughby St & Fleet St,10,21,40.69196566,-73.9813018,In Service,1,11,Willoughby St & Fleet St,,,,,,false,,
241,DeKalb Ave & S Portland Ave,22,23,40.68981035,-73.97493121,In Service,1,0,DeKalb Ave & S Portland Ave,,,,,,false,,
242,Flushing Ave & Carlton Ave,16,23,40.69788349,-73.97350332,In Service,1,7,Flushing Ave & Carlton Ave,,,,,,false,,
243,Fulton St & Rockwell Pl,24,31,40.688226,-73.979382,In Service,1,6,Fulton St & Rockwell Pl,,,,,,false,,
244,Willoughby Ave & Hall St,31,31,40.69196035,-73.96536851,In Service,1,0,Willoughby Ave & Hall St,,,,,,false,,
245,Myrtle Ave & St Edwards St,19,23,40.69327018,-73.97703874,In Service,1,4,Myrtle Ave & St Edwards St,,,,,,false,,
247,Perry St & Bleecker St,18,20,40.73535398,-74.00483091,In Service,1,2,Perry St & Bleecker St,,,,,,false,,
248,Laight St & Hudson St,14,23,40.72185379,-74.00771779,In Service,1,9,Laight St & Hudson St,,,,,,false,,
249,Harrison St & Hudson St,1,27,40.71870987,-74.0090009,In Service,1,25,Harrison St & Hudson St,,,,,,false,,
250,Lafayette St & Jersey St,13,40,40.72456089,-73.99565293,In Service,1,27,Lafayette St & Jersey St,,,,,,false,,
251,Mott St & Prince St,7,27,40.72317958,-73.99480012,In Service,1,18,Mott St & Prince St,,,,,,false,,
252,MacDougal St & Washington Sq,28,33,40.73226398,-73.99852205,In Service,1,3,MacDougal St & Washington Sq,,,,,,false,,
253,W 13 St & 5 Ave,3,3,40.73543934,-73.99453948,Not In Service,3,0,W 13 St & 5 Ave,,,,,,false,,
254,W 11 St & 6 Ave,3,3,40.73532427,-73.99800419,Not In Service,3,0,W 11 St & 6 Ave,,,,,,false,,
257,Lispenard St & Broadway,6,38,40.71939226,-74.00247214,In Service,1,30,Lispenard St & Broadway,,,,,,false,,
258,DeKalb Ave & Vanderbilt Ave,14,23,40.68940747,-73.96885458,In Service,1,7,DeKalb Ave & Vanderbilt Ave,,,,,,false,,
259,South St & Whitehall St,1,39,40.70122128,-74.01234218,In Service,1,35,South St & Whitehall St,,,,,,false,,
260,Broad St & Bridge St,3,35,40.70365182,-74.01167797,In Service,1,32,Broad St & Bridge St,,,,,,false,,
261,Johnson St & Gold St,24,27,40.69474881,-73.98362464,In Service,1,2,Johnson St & Gold St,,,,,,false,,
262,Washington Park,22,23,40.69178232,-73.97372989,In Service,1,1,Washington Park,,,,,,false,,
263,Elizabeth St & Hester St,18,31,40.71729,-73.996375,In Service,1,12,Elizabeth St & Hester St,,,,,,false,,
264,Maiden Ln & Pearl St,4,27,40.70706456,-74.00731853,In Service,1,21,Maiden Ln & Pearl St,,,,,,false,,
265,Stanton St & Chrystie St,33,35,40.72229346,-73.99147535,In Service,1,1,Stanton St & Chrystie St,,,,,,false,,
266,Avenue D & E 8 St,24,24,40.72368361,-73.97574813,In Service,1,0,Avenue D & E 8 St,,,,,,false,,
267,Broadway & W 36 St,51,57,40.75097711,-73.98765428,In Service,1,4,Broadway & W 36 St,,,,,,false,,
268,Howard St & Centre St,10,27,40.71910537,-73.99973337,In Service,1,16,Howard St & Centre St,,,,,,false,,
270,Adelphi St & Myrtle Ave,19,23,40.69308257,-73.97178913,In Service,1,3,Adelphi St & Myrtle Ave,,,,,,false,,
271,Ashland Pl & Hanson Pl,27,31,40.68528172,-73.97805813,In Service,1,3,Ashland Pl & Hanson Pl,,,,,,false,,
274,Lafayette Ave & Fort Greene Pl,26,31,40.68691865,-73.976682,In Service,1,4,Lafayette Ave & Fort Greene Pl,,,,,,false,,
275,Washington Ave & Greene Ave,15,19,40.68650065,-73.96563307,In Service,1,2,Washington Ave & Greene Ave,,,,,,false,,
276,Duane St & Greenwich St,7,25,40.71748752,-74.0104554,In Service,1,16,Duane St & Greenwich St,,,,,,false,,
278,Concord St & Bridge St,17,19,40.69766564,-73.98476437,In Service,1,2,Concord St & Bridge St,,,,,,false,,
279,Peck Slip & Front Street,12,36,40.707873,-74.00167,In Service,1,22,Peck Slip & Front Street,,,,,,false,,
280,E 10 St & 5 Ave,17,31,40.73331967,-73.99510132,In Service,1,13,E 10 St & 5 Ave,,,,,,false,,
281,Grand Army Plaza & Central Park S,21,59,40.7643971,-73.97371465,In Service,1,36,Grand Army Plaza & Central Park S,,,,,,false,,
282,Kent Ave & S 11 St,15,27,40.70827295,-73.96834101,In Service,1,10,Kent Ave & S 11 St,,,,,,false,,
284,Greenwich Ave & 8 Ave,27,43,40.7390169121,-74.0026376103,In Service,1,13,Greenwich Ave & 8 Ave,,,,,,false,,
285,Broadway & E 14 St,9,47,40.73454567,-73.99074142,In Service,1,37,Broadway & E 14 St,,,,,,false,,
289,Monroe St & Classon Ave,19,19,40.6845683,-73.95881081,In Service,1,0,Monroe St & Classon Ave,,,,,,false,,
290,2 Ave & E 58 St,24,28,40.76020258,-73.96478473,In Service,1,2,2 Ave & E 58 St,,,,,,false,,
291,Madison St & Montgomery St,20,20,40.713126,-73.984844,In Service,1,0,Madison St & Montgomery St,,,,,,false,,
293,Lafayette St & E 8 St,19,55,40.73028666,-73.9907647,In Service,1,34,Lafayette St & E 8 St,,,,,,false,,
294,Washington Square E,1,31,40.73049393,-73.9957214,In Service,1,30,Washington Square E,,,,,,false,,
295,Pike St & E Broadway,22,24,40.71406667,-73.99293911,In Service,1,0,Pike St & E Broadway,,,,,,false,,
296,Division St & Bowery,25,34,40.71413089,-73.9970468,In Service,1,9,Division St & Bowery,,,,,,false,,
297,E 15 St & 3 Ave,26,27,40.734232,-73.986923,In Service,1,1,E 15 St & 3 Ave,,,,,,false,,
